tweet,date,retweet,like,year_month,year,sentiment,new_tweet_text,period,month_year
muhyiddin  compares malaysia with other countries to show we’re not that bad after all mat sabu  compares malaysia with other countries to show how bad we actually are  wahai rakyat  buka mata dan lihat teknik politician pn ,2021-07-26,1000,2400,2021-07,2021,0,show bad mat show bad actually dan politician,during,2021-07
if yall know anyone who s travelling back to malaysia from abroad please let them know that you need to apply for the home quarantine thingie via email at hsokkm gmail com hso moh gov my i don t think enough ppl know abt it   i feel bad seeing ppl get frustrated at the airport,2021-08-15,3800,2200,2021-08,2021,0,know anyone back abroad please let know need apply home quarantine via think enough know I feel bad seeing get airport,during,2021-08
malaysia is just in a bad spot  lost the supply chain war  political instability  health crisis  government incompetence  economy disrupted  and just what its manufacturing doesn t need  a relatively strong ringgit  but the dudes celebrate  rm4  rm4 ,2021-01-27,537,1000,2021-01,2021,0,bad spot lose supply chain war political instability health crisis government incompetence economy need relatively strong celebrate,during,2021-01
can yg open a physical merch store here in sea countries  im tired of paying for the shipping fees as expensive as the merch trust me we really have lots of yga stans here especially in malaysia  singapore  indonesia and philippines    ygent official,2021-07-27,361,1000,2021-07,2021,1,open physical merch store sea tired pay shipping expensive merch trust I really lot especially official,during,2021-07
i have no words for the parliment… im scared for malaysia,2021-07-26,392,1000,2021-07,2021,1,I,during,2021-07
oh god we ve reached the  taliban actually aren t good or bad  it s a matter of perspective  stage of radicalisation in malaysia  that s fucking horrifying ,2021-08-17,989,1800,2021-08,2021,1,oh god actually good bad matter perspective stage,during,2021-08
what happened today in malaysia  should be in the history book  let the future government and our kids know how bad politics and injustice can really destroy our beloved country  stop hiding behind shades ,2021-05-05,932,1700,2021-05,2021,0,today history book let future government know bad politic injustice really destroy beloved country stop behind,during,2021-05
only in malaysia can you regain power after losing an election  only in malaysia where absolute failure of a man gets rewarded to the top job  only in malaysia ,2021-08-20,1200,1600,2021-08,2021,0,regain power lose election absolute failure man top job,during,2021-08
malaysia full of toxic   minat kpop salah   bad looking dikecam   good looking disanjung   welcome to malaysia  ,2021-02-22,525,1400,2021-02,2021,1,full toxic bad look good look welcome,during,2021-02
hi guys  i just want to talk about why i have decided to turn  lawan tomorrow  i love malaysia  i even feel bad   guilty thinking about how i am gonna go to uk soon for my study and my family   friends are stuck here  with this shitty  crappy   useless government   1 ,2021-07-30,445,1300,2021-07,2021,0,hi I want talk I decide turn tomorrow I love I even feel bad guilty thinking I go soon study family stick useless government,during,2021-07
paula skor for malaysia fuyooo first match dh skor not bad kuwait 1 1 malaysia,2021-05-23,198,1200,2021-05,2021,0,first match bad,during,2021-05
yes  ismailsabri60   no parties or anyone should be held accountable  it s you  why  because you are the head of the country or ketua keluarga malaysia  you must shoulder any poor performance or bad decision  why  because you chose the supporting team  1 2,2021-12-23,631,1200,2021-12,2021,0,yes anyone accountable head country must shoulder poor performance bad decision choose support team,during,2021-12
i don t know about  keluarga malaysia   but in a proper family  we don t discriminate between children  yes  some haven t reached their full potential   we should rightfully help them  but to prioritise a spoiled rich brat over a less privileged one  that s just bad parenting ,2021-09-29,442,1100,2021-09,2021,1,I know proper family discriminate yes full potential rightfully help spoiled rich brat less privileged one bad,during,2021-09
 artist of the month   bad  covered by ateez wooyoung 우영  trending on youtube  4 brazil  4 chile  6 bolivia  6 colombia  8 argentina  12 paraguay  15 canada  16 mexico  22 peru  29 turkey  35 russia  36 malaysia  46 italy  에이티즈  ateezofficial,2021-06-21,548,1100,2021-06,2021,0,artist month bad cover brazil chile bolivia canada turkey russia,during,2021-06
senate blue ribbon panel chair richard gordon says the arrest of pharmally execs and siblings darganis just before they were able to flee to malaysia is a sign of guilt  adds he’s not surprised they were caught at president duterte’s turf davao city  rapplerdotcom,2021-11-15,165,943,2021-11,2021,0,senate blue ribbon panel chair arrest able flee sign guilt catch president turf city,during,2021-11
first bts meal and now bts popup store   imagine if bts do a concert in malaysia too and having the same a situation again okay bye i m tired,2021-08-09,166,887,2021-09,2021,0,first meal store imagine concert situation bye I tired,during,2021-08
 muhyiddinout is on trending  like wtf is happen to malaysia  im tired of politic issues ,2021-03-02,299,840,2021-02,2021,0,like happen tired politic,during,2021-03
in malaysia  nobody resigns for incompetence or failure  in fact some get higher appointments  the top echelon that is ,2021-01-30,591,833,2021-01,2021,0,nobody incompetence failure fact get high top echelon,during,2021-01
do not donate to government is trending  shame on malaysia s government  please resign ,2021-12-23,469,759,2021-12,2021,0,donate government shame government please resign,during,2021-12
i want to make a joke about timah so bad but rly nothing is funnier than the fact that they really said that this is  like drinking malay women  in parliament  the parliament  of malaysia  ,2021-10-28,283,725,2021-10,2021,1,I want make joke bad nothing fact really say like drink parliament parliament,during,2021-10
let s not forget that pandelela won bronze in london 2012  won silver in rio 2016 with jun hoong  jun hoong won gold at 2017 fina world championship  normal la athletes ada up and down  maybe nervous  also from last year lagi keadaan malaysia mcm mana  dgn pkp lagi ,2021-04-08,338,713,2021-08,2021,1,let forget win bronze win silver rio win gold world championship normal la maybe nervous also last year mana,during,2021-04
dear mutuals from wherever you are  hope you could spare some prayers for our beloved neighbour  malaysia  for what they’re going through currently  the heavy rain and floods have been really bad and some lives are lost  please  pray for them ,2021-12-19,490,634,2021-12,2021,1,dear wherever hope could spare beloved go currently heavy rain really bad lose please pray,during,2021-12
another failure    malaysia has taken the  pia plane to its custody  mr foreign minister where is your successful diplomacy  ,2021-01-16,95,615,2021-01,2021,1,another failure take pia plane custody foreign minister successful diplomacy,during,2021-01
i feel bad reading indonesian armys  tweets  somehow gave me flashbacks of what happened here in malaysia too before  dearest indonesian armys  if a set of nuggets in purple packaging makes you happy  just go for it  life is too short to let others invalidate your happiness,2021-09-06,158,600,2021-06,2021,1,I feel bad reading somehow give I set purple happy go life short let invalidate happiness,during,2021-09
congrats lee zii jia  to daren liew  thank you for representing malaysia  you’re not bad  you’re not lose today  it’s just one of you guys have to ‘lose’ a lil upset that the draw goes to mas vs mas on early stage  denmarkopen2021,2021-10-21,155,557,2021-10,2021,0,lee thank bad lose today one lose upset draw go mas mas early stage,during,2021-10
unhrc just held its debate targeting israel  non democracies took the floor  china cuba iran syria north korea egypt pakistan venezuela russia libya qatar kuwait iraq turkey saudi malaysia jordan algeria yemen lebanon shame on 2 western countries who joined  chile luxembourg,2021-03-10,216,554,2021-10,2021,0,debate non take floor china north russia turkey jordan shame western chile,during,2021-03
just realised that if hamilton didn’t have that engine failure in malaysia back in 2016 he would have won seven straight championships  that is literally insane  but who knows  maybe nico would have stuck around for 2017 onwards ,2021-11-23,22,515,2021-11,2021,0,engine failure back would win seven straight literally insane maybe would stick around onward,during,2021-11
just as our 1963 playmates thailand  south korea  singapore   malaysia are now developed countries  kenya like them needs benevolent dictator to social engineer the country to end tribalism  corruption   bad manners benevolent dictatorship will catapult us to join our playmates ,2021-04-19,71,512,2021-04,2021,1,south like need benevolent dictator social engineer country end tribalism corruption bad manner benevolent dictatorship catapult join,during,2021-04
i have watched almost all streams from different countries and so far lazada malaysia had the most decent setlist  like three consecutive dream stages   intro  it s not cut down to preserve viewership from nctzens lol  good work,2021-03-26,107,507,2021-03,2021,1,I watch almost different far decent like three consecutive dream cut preserve good work,during,2021-03
just told a room of aspiring tv writers that “i have more dead pilots than malaysia airlines ” wonder how many i scared away from the business ,2021-02-27,35,478,2021-02,2021,0,tell room aspire I dead wonder many I away business,during,2021-02
awka has become the shame of anambra state shooting your childhood friends in the name of useless cultism is iberibe where were you   we have since moved on from that nonsense  your mates are in malaysia you dey ifite dey shout aro mate and aye axeman ndị apari,2021-04-19,166,466,2021-04,2021,0,become shame state shoot childhood name useless cultism since nonsense dey dey shout mate aye,during,2021-04
in malaysia the failure to perform can be used as a justification for a party to hold on to power ,2021-06-05,126,461,2021-05,2021,0,failure perform use justification party hold power,during,2021-06
ng tze yong  never seen him before and not even 5 minutes in he shocked me  not actually bad for world number 82  they weren t lying when they said he is malaysia s secret weapon  long way for him to go  congratulations team indonesia and thank you team malaysia  thomascup2020,2021-10-15,114,392,2021-10,2021,0,never see even I actually bad world number lie say secret weapon long way go team thank team,during,2021-10
we as kpopers trying our best to show them that we are not useless its up to them to talk bad abt us but the important thing is we re doing our job to help flood victims who need it thank you very much to all the kpopers from out of malaysia help us tooim very proud as kpopers ,2021-12-20,157,373,2021-12,2021,1,try good show useless talk bad important thing job help flood need thank much help,during,2021-12
more bad news i am afraid  indonesia have a mandatory one month bonus   thus the get 13 months wages per year  keluarga malaysia kedekut,2021-11-22,272,370,2021-11,2021,1,bad news I afraid mandatory one month bonus thus get wage per year,during,2021-11
malaysia pm muhyiddine yassin has tendered his resignation to king sultan abdullah sultan ahmad shah as pressure mounts due to his failure to deal with the coronavirus crisis ,2021-08-17,62,366,2021-08,2021,0,resignation king sultan sultan shah pressure due failure deal crisis,during,2021-08
we did see pia airbus 310 disappearing in germany and now we see pia boeing 777 being confiscated in malaysia seems pia has gone from bad to worse management hope more sense prevails on our country managers and we can save pia from vanishing altogether,2021-01-16,121,362,2021-01,2021,0,see pia disappear see pia pia go bad bad management hope sense country save pia vanish altogether,during,2021-01
makin lama makin stress dengan how things are  it is bad and there seems to be no signs of it getting better  almost 2 whole years lost and this pandemic has amplified and made it clear how bad of a state malaysia is at the moment  the future is grim ,2021-06-25,431,359,2021-06,2021,0,lama stress bad get well almost whole lost pandemic make clear bad state moment future grim,during,2021-06
seeing all these tweets about looking for 4x4 cars and thinking what a shame it is that the west and east malaysia are not connected through roads like do you have any idea how plentiful 4x4 is in sabah we would’ve had yalls back in a sec,2021-12-21,227,357,2021-12,2021,0,see look think shame west east connect like idea plentiful would back sec,during,2021-12
the situation in malaysia is so bad  that my universities just emailed their malaysian alumni to extend sympathies well wishes,2021-06-08,100,348,2021-08,2021,0,situation bad alumnus extend well,during,2021-06
malaysia is top 5 among countries that needs doctors  and yet we allocated less for them  take the stupid jasa jkom budget and give it to docs  cut jakim 1 billion budget and hire more docs  fire the ministers and hire more doctors  and docs  it s time to flee  fleemasons ,2021-06-27,241,342,2021-06,2021,0,top among need yet less take stupid budget give cut billion budget hire fire hire time flee,during,2021-06
najib razak really has no shame  i guess he is not normal  how can he play golf when the world knows him as a plundering idiot  if he is not ashamed of what he did  at least spare us  the people of malaysia the embarrassment ,2021-12-12,87,337,2021-12,2021,0,really shame I guess normal play golf world plunder idiot ashamed least spare people embarrassment,during,2021-12
wow i didn’t know malaysia had a lot of aspiring murderers  if you want to check  follow sajat’s story  in the comments there are so many threats or “day dreams” of murder  is open conversation of premeditating murder reportable  please let me know cos i’m scared for our country ,2021-04-03,183,316,2021-03,2021,0,wow I know lot aspire want check follow story many day murder open conversation murder reportable please let I know cos I country,during,2021-04
so many chinese artist  model athletes whether in malaysia  sgpore  hk  taiwan  or china   loves and supports tzuyu so much… ugh how i wish jype let her shines more they are wasting her so bad her name would be so big if they promote her better  tzuyudeservesbetter,2021-08-24,57,308,2021-08,2021,0,many artist model whether china much ugh I wish let waste bad name would big promote well,during,2021-08
hello melody  since there is some bad news from our melody overseas such as typhoon in ph and flood in my  how about we change our  melodyselcaday to  melodysupportday and give some positives word to comfort our melofellas in malaysia and philippines  thank you,2021-12-20,197,294,2021-12,2021,1,hello melody since bad news melody overseas typhoon flood change give word comfort thank,during,2021-12
fans have always being positive about malaysia chances in every competitive game  but often letdown by   silly mistakes  red card  poor finishing  consistency  every time concede a goal  good 1st half  bad 2nd half  some of best players failed to impress this need to fix ,2021-05-29,290,289,2021-05,2021,1,always positive every competitive game often letdown silly red card poor finish consistency every time concede goal good half bad half good impress need fix,during,2021-05
the  i apologised therefore you must forgive me and let s move on  playbook is so normalised in  malaysia  when it should rather be   i m sorry  no excuses for it  i m responsible for my mistake  i accept the consequences of my bad decisions  ,2021-05-28,206,288,2021-05,2021,0,I therefore must forgive I let move playbook rather I sorry I responsible mistake I accept bad,during,2021-05
pls for malaysia engene dont ever check out if u never pay for the 1st payment  im scared that i ‘ll got penalty point from shopee and cant use free shipping voucher  gratis ongkir  bcs canceling many orders ,2021-10-09,12,282,2021-09,2021,1,nt ever check u never pay payment I get penalty point use free shipping voucher gratis many,during,2021-10
new zealand petrol mahal   rm6 20 liter  but their minimum wage workers can buy 9 liters with one hour work  whereas  in malaysia petrol murah but our minimum wage workers can only buy 3 liters with one hour gaji  this is bad but there is worse   ,2021-01-20,220,273,2021-01,2021,0,new petrol liter minimum wage buy one hour work whereas petrol minimum wage buy one hour bad bad,during,2021-01
malaysia  team  we re surrounded on all sides  c19 enemy in the north  banjir nemesis from the south  our people are tired  weak and hungry  your nation needs you now more than ever  abang rumno  tuan  i don t want to friend berone anymore  malaysia     ,2021-08-01,151,257,2021-01,2021,0,team surround side enemy north south people tired weak hungry nation need ever tuan I want friend,during,2021-08
 bad habits concept photo  achievements within 1 hour   73k  tweets   trended in 4 different countries and worldwide trends  1 indonesia  6 malaysia  8 worldwide trend  9 philippines  13 argentina  badhabits conceptphoto1  cravity twt  cravitystarship,2021-04-03,177,248,2021-03,2021,0,bad concept photo within hour different trend,during,2021-04
70  of young people want to leave  i think if you have the  legal  opportunity to leave malaysia and migrate to another country  you should  i think the only way malaysians could evolve is to leave this place and this society to experience what s out there   both good and bad ,2021-11-17,151,248,2021-11,2021,1,young people want leave I think legal opportunity leave migrate another country I think way could evolve leave place society experience good bad,during,2021-11
just finished watching how to become a tyrant series on netflix  discussing the  playbook  that hitler  stakin  myanmar gaddafi etc used to control the population  i don t know if i m horrified that i recognised tactics used in malaysia  or grateful that things never got as bad,2021-10-07,67,245,2021-07,2021,1,finish watch become tyrant series playbook use control population I know I I tactic use grateful never get bad,during,2021-10
malaysia army  what part of not using a bad   that you don t understand  korang guna that   makin trending la  it s a common sense kot,2021-01-28,86,245,2021-01,2021,0,army part bad understand guna la common sense,during,2021-01
it worries me a lot to see the situation in malaysia  and i pray it doesn’t go as bad as uk did    stay safe everyone,2021-04-05,30,244,2021-05,2021,1,I lot see situation I pray go bad stay safe everyone,during,2021-04
malaysia wants to go digital but the costs involved in going digital is just too prohibitive  our internet prices is high  coverage is still bad  digital keys   certificates is still high  wet inks is still required extensively  access   culture issues to be addressed,2021-06-01,192,242,2021-01,2021,0,go digital involved go digital prohibitive high coverage still bad digital still high wet ink still extensively access culture,during,2021-06
tengku razaleigh  no  thanks  are we running on empty tanks that we keep recycling the same names over and over again  is this what you want the future of malaysia to look like  tired  worn  and talent poor ,2021-09-06,77,241,2021-06,2021,0,thank run empty keep want future look like tired worn talent poor,during,2021-09
national shame  pakistan must understand that there remains no  brotherly state  when it comes to  business  rule of law   interests   malaysia seized pia s plane involving a dispute with plaintiff links to saudi arabia  pia continues to meet embarrassment after govt s follies ,2021-01-15,62,240,2021-01,2021,0,national shame must understand remain brotherly state come business rule law pia plane dispute plaintiff link pia meet embarrassment,during,2021-01
to pakcik from indonesia who said “asal bukan malaysia” semalam to ng tze yong  you can see him now as a champion for belgian international 2021  shame on you  belgianinternational2021  frenchopen2021,2021-10-31,88,238,2021-10,2021,1,say see champion international shame,during,2021-10
the fact how players like saka  rashford and sancho are getting racially abused is just as same as what non muslims in malaysia go through too  praised when we make the nation proud but “pendatang” when something bad happens  ,2021-12-07,130,232,2021-07,2021,0,fact like sancho get racially non go make nation something bad,during,2021-12
last year  abah was so scared he declared darurat over malaysia  today  undi18 is so scary darurat was lifted in sarawak ,2021-04-11,76,221,2021-11,2021,0,last year declare today scary,during,2021-04
guys that berlin vs malaysia edit got me heated like    all of those  flaws  are problems because of crime  over reliance on cars  bad design for the climate  lack of safe accessible public recreation areas     but they re making out like they re personal aesthetic choices   ,2021-10-08,80,220,2021-08,2021,0,berlin edit get I like crime reliance bad design climate lack safe accessible public recreation make like personal aesthetic,during,2021-10
if and when ismail sabri became the 9th pm and azmin ali is the dpm then i don’t think there is hope for malaysia anymore  i’m tired beyond my bones ,2021-08-19,101,219,2021-08,2021,1,I think hope I tired beyond,during,2021-08
how can you replace an incompetent leader who showed he had failed handling the pandemic with another minister who was pretty much involved in the failure of handling the pandemic  malaysia pls explain i’m confusion,2021-08-20,179,209,2021-08,2021,0,replace incompetent leader handle pandemic another minister pretty much involve failure handle pandemic explain I confusion,during,2021-08
customers in parts of peninsular malaysia may find their data experience affected today due to an unfortunate equipment failure  our technical team is working hard to resolve this issue and restore services as soon as possible ,2021-07-05,439,199,2021-05,2021,0,peninsular may find data experience affect today due unfortunate equipment failure technical team work hard resolve issue restore soon possible,during,2021-07
“so the next election is going to be a very important election in malaysia  it is the last chance that we have to clean up this country  if you don’t  then forever you’re going to have bad government ”  former pm mahathir mohamad,2021-12-14,49,198,2021-12,2021,1,next election go important election last chance clean country forever go bad government former,during,2021-12
trends update thrill ing highlight medley  7 malaysia  8 philippines  9 indonesia  22 worldwide merry bad ending  10 malaysia  12 indonesia  18 philippines 메리배드엔딩  14 south korea b o y  11 indonesia  18 malaysia  tbz thrill ride playlist,2021-07-08,60,189,2021-08,2021,1,update thrill ing highlight medley merry bad end south b thrill ride,during,2021-07
feels great to be back in malaysia   but im sadden to see the suffering of the flood victims   its great to see how malaysians are helping out the best that they can  but its a shame when the government doesn’t seem to be too concerned about them,2021-12-21,5,185,2021-12,2021,1,great back sadden see suffering flood great see help good shame government seem concerned,during,2021-12
strengthen liga malaysia  then you will strengthen the national team  not the other way around  the lack of success despite the inclusion of half blood players and naturalised players in the national team proved that there is simply no short cut to success ,2021-06-14,160,184,2021-06,2021,1,strengthen strengthen national team way around lack success despite inclusion half blood national team prove simply short cut success,during,2021-06
quote unquote   pandemic response honor list  singapore  thailand  vietnam and malaysia are the top countries  the philippines is at the bottom  duterte is a failure  a sick leader of a sick country     ricardo de leon dalisay  netizen,2021-05-04,33,180,2021-04,2021,0,quote unquote pandemic response honor list top bottom failure sick leader sick country de,during,2021-05
bilalah malaysia nak start buat drama based on buku fixi or malaysian webtoon     im tired of the same cliche drama melayu based on novels  it s time to step up the game  i want to see malaysian dramas to reach kdramas level ,2021-07-30,137,180,2021-07,2021,0,nak start drama base tired cliche drama base time step game I want see reach level,during,2021-07
im so mad rn bcs jungkook barely talk on the show   they cut his interview  did they forgot that he is the guest of that show  you dont come here   say we should wait bcs im done waiting  also please hype jk in all the performance he deserve all the attention ,2021-07-14,79,178,2021-07,2021,0,mad barely talk show cut interview forgot guest show come say wait wait also please performance deserve attention,during,2021-07
welcome to malaysia is trending and  surprise surprise  another politician got away with corruption  i m so tired of this shit please,2021-07-16,68,176,2021-07,2021,1,welcome surprise surprise another politician get away corruption I tired please,during,2021-07
do foreign investors invest in malaysia because we have the tall towers that make us look rich and modern  or do they invest because there is a widening gap between living costs and wages  and that  skilled  labour is desperately clamouring for work  no matter how bad the pay is ,2021-06-12,82,162,2021-12,2021,0,foreign invest tall make look rich modern invest gap living wage skilled labour desperately work matter bad pay,during,2021-06
txt performed at malaysia tv show   txt concert at malaysia i want this to happen so bad    hybe recognize malaysia again   bts will be here too soon   bts concert in malaysia,2021-09-25,27,154,2021-09,2021,0,show concert I want happen bad recognize soon concert,during,2021-09
no social activities perhaps until end of october  highly unlikely dine in will be allowed in malaysia anytime soon  i feel bad for small f b business operators  they must be struggling to keep afloat  most restaurants can’t cover rental  salaries etc on food deliveries alone ,2021-06-15,145,151,2021-06,2021,0,social perhaps end highly unlikely dine soon I feel bad small f b business must struggle keep afloat cover rental food alone,during,2021-06
the failure to give asylum to all local afghani colleagues is a disgrace for the us  but also for every country that participated in the un effort  belgium  denmark  france  germany  portugal  netherlands  spain  uk  australia  nz  italy  jordan and malaysia  among many others ,2021-08-16,21,150,2021-08,2021,0,failure give asylum local afghani disgrace also every country un effort jordan among many,during,2021-08
i know we feel like we can’t do much about the palestinian struggle and that makes us feel guilty but i hope that guilt instills awareness and willingness in all of us to actively help the refugees that are already in malaysia in whatever way we can,2021-12-05,108,141,2021-05,2021,1,I know feel like much struggle feel guilty I hope guilt awareness willingness actively help already whatever way,during,2021-12
so everyone take care of yourself wherever you are  even here in malaysia we already reach 20k daily cases make me even scared,2021-05-08,57,131,2021-08,2021,1,everyone take care wherever even already reach daily make I even,during,2021-05
 bad habits video teaser  is currently trending in 4 different countries and worldwide trends   6 indonesia  7 malaysia  11 france  15 philippines  17 worldwide  badhabitsteaser  cravity twt  cravitystarship,2021-09-03,75,129,2021-03,2021,0,bad video teaser currently different,during,2021-09
they reject total lockdown so bad but couldn t do a proper logic restrictions sops to balance economy   livelihood that they ve been repeating 2000 times couldn t do mass testing   aggressive testing in all states to help the   unable   to total lockdown,2021-05-26,75,122,2021-05,2021,0,reject total bad proper logic balance economy livelihood time mass test aggressive testing help unable total,during,2021-05
    bad habits  twitter trending  look at bad habits   5 malaysia  5 indonesia  9 philippines  10 worldwide  nofallbackbadhabits  4 malaysia  6 indonesia  cravity twt  cravitystarship,2021-11-03,94,122,2021-03,2021,0,bad twitter look bad,during,2021-11
if you can still be positive at the current situation and think that malaysia isn’t that bad  know that you’re privileged af  people are suffering and dying ,2021-08-15,77,117,2021-08,2021,0,still positive current situation think bad know privileged people suffer die,during,2021-08
i feel bad for the us armys i hope you guys will get so much more in the future  btsmeal p s  no photocards in malaysia too  photocards will only be available at weverse with the merchandise ,2021-05-27,17,116,2021-05,2021,0,I feel bad us I hope get much future p available merchandise,during,2021-05
in us you can take a mental health day off    in malaysia you take one day mc and your entire company will shame you for it till you die,2021-10-02,41,116,2021-02,2021,0,take mental health day take one day entire company shame till die,during,2021-10
pia’s plane seized in malaysia due to failure to pay lease dues   جہاز پکڑا گیا,2021-01-15,66,114,2021-01,2021,0,pia plane due failure pay lease,during,2021-01
atinys please be safe especially in midwest with bad weather with tornadoes  send any info to help and we will share  sending our prayers to malaysia with the flooding as well  if you have any info we can send out we help share as well ,2021-12-19,103,112,2021-12,2021,1,please safe especially bad weather send help share send flooding well send help share well,during,2021-12
close factories la you   upid government  11k already  what you guys waiting for   nak tunggu malaysia jadi zombie apocalypse ke   ayoo  we all tired laa   upid ,2021-07-13,61,110,2021-07,2021,0,close la government already wait nak zombie apocalypse tired,during,2021-07
can i ask for a prayer for us  to my fellow southeast asians from  philippines  malaysia  singapore  myanmar  thailand  and indonesia i am praying that this won t happen to any of us  am i scared  of course i am  even if i doesn t go outside at all   this is alarming ,2021-09-14,25,110,2021-09,2021,1,I ask prayer fellow southeast I pray win happen I course I even I go outside alarming,during,2021-09
sarawak has highest number of people vaccinated at 8 323  at 4pm  followed by pahang at 2 419 and then perak  1 277   not bad for a place which is as big as west malaysia  has poor road connectivity  and lack infrastructure  if compared to other places in malaysia  tahniah ,2021-02-03,53,109,2021-03,2021,0,high number people bad place big west poor road connectivity lack infrastructure,during,2021-02
do not take urban   semi urban voters for granted  they  together with rural voters  are not stupid  they see through your bad attempts to distinguish this from that  a progressive coalition is the way forward for malaysia  but not this way  beyond dissappointed ,2021-06-11,19,107,2021-11,2021,0,take urban semi urban together rural stupid see bad distinguish progressive coalition way forward way beyond,during,2021-06
in the uk if i were to say i support the conservatives  they would say that is my right and they respect it  in malaysia if i were to say i support perikatan  they will curse me and say nasty things  i wonder whether that is because of a bad education system or a bad upbringing ,2021-02-05,24,106,2021-05,2021,0,I say I support would say right respect I say I support curse I say nasty I wonder whether bad education system bad,during,2021-02
i’m tired of malaysia  aren’t you ,2021-06-04,40,105,2021-04,2021,0,I tired,during,2021-06
not saying it’s good or bad  but using family network connections to get good jobs happens literally everywhere  it’s just how society works  takyah nak buat teruk mcm t20 kat malaysia ni je mcm tu  kat us uk  china spore semua sama the rich   powerful know   help each other 1st ,2021-05-12,48,104,2021-12,2021,1,say good bad family network get good literally everywhere society work nak kat ni tu kat us china spore rich powerful know help,during,2021-05
government should consider on restricting the amount of flights from india and pakistan as well  if not temporary stop  considering how bad widespread the situation there and the percentage of imported cases in malaysia for this week where half is from india alone  ,2021-04-24,56,102,2021-04,2021,0,government consider amount well temporary stop consider bad widespread situation percentage week half alone,during,2021-04
evertonians across usa are flying to florida to watch  everton while here in malaysia it feels like the end of days  cant leave the house  cant have a meal outside  and many cant earn money cos they are not allowed to operate  we dont know how bad more it will be tomorrow,2021-07-25,5,101,2021-07,2021,0,across fly watch like end day leave house meal outside many earn money cos operate know bad tomorrow,during,2021-07
malaysia ni mcm lockdown ditimpa lockdown double lockdown triple lockdown lama lama semua meninggal kelaparan kecuali this government bodoh  can this muhyiddin government resign  what a shame,2021-01-07,61,99,2021-07,2021,0,ni double triple lama lama government government resign shame,during,2021-01
this war on obesity in malaysia just focuses on blaming the rakyat  and the rakyat will happily jump on the fat shaming bandwagon ofc ,2021-11-11,54,99,2021-11,2021,0,war obesity blame happily jump fat,during,2021-11
i feel so hopeless sitting on my bed cant do anything for those victims … may allah protect all the victims   the kids   the elders   the animals   please save malaysia,2021-12-19,79,99,2021-12,2021,1,I feel hopeless sit bed anything may protect please save,during,2021-12
